X,Y,Z,Z_Dither,Bregma_AP,Bregma_DV,Bregma_ML,Mean_Int_Ch1,Mean_Int_Ch2,Mean_Int_Ch3,Mean_Int_Ch4,Hemisphere,ID,Acronym
300.5698,72.9085,211.9759,211.2834,50.6017,-1352.7123,1814.2442,45726.339,1939.1695,0,0,Left,648,MOp5
297.4585,72.9415,212.0069,212.8406,49.8284,-1353.5376,1736.4631,37688.0893,2937.0179,0,0,Left,648,MOp5
305.8138,73.9189,211.8849,211.4431,52.8777,-1377.9721,1945.344,16066.4865,1131.2432,0,0,Left,1128,SSpll5
287.2277,73.9325,212.0169,211.497,49.5781,-1378.3136,1480.6934,52636.6757,1166.3784,0,0,Left,844,MOp6a
289.2739,73.9786,212.0109,211.0218,49.7277,-1379.4661,1531.8482,23277.0217,1456,0,0,Left,648,MOp5
298.5344,74.0284,211.9582,211.7379,51.0446,-1380.709,1763.3607,36524.5,1787.1,0,0,Left,648,MOp5
293.4273,75.114,211.9455,211.1231,51.3632,-1407.8488,1635.6834,19316.2333,2245.1333,0,0,Left,844,MOp6a
294.4546,75.1209,211.941,210.8553,51.4758,-1408.0237,1661.3654,44087.9667,1647.35,0,0,Left,648,MOp5
300.6438,75.1053,211.9034,210.587,52.416,-1407.6323,1816.0942,24468.413,2082.7826,0,0,Left,648,MOp5
157.826,76.5966,207.8706,207.8763,153.236,-1444.914,-1754.3492,8884.8571,6506.9048,0,0,Right,648,MOp5
297.5434,75.1249,211.9245,212.4098,51.8872,-1408.1221,1738.5842,47678.3269,1660.7885,0,0,Left,648,MOp5
299.6089,75.1143,211.911,211.0967,52.2262,-1407.8568,1790.2226,52190.2388,1726.3881,0,0,Left,648,MOp5
285.2432,74.9467,211.9664,212.6639,50.8412,-1403.6677,1431.0811,23391.3333,938.1667,0,0,Left,844,MOp6a
295.5297,76.2089,211.8902,211.0435,52.7454,-1435.2222,1688.2423,18194.8936,1359.7021,0,0,Left,844,MOp6a
304.8288,76.1505,211.8362,211.5208,54.0961,-1433.7625,1920.7188,25482.9318,2158.4545,0,0,Left,1128,SSpll5
286.3205,76.0492,211.9099,212.2769,52.2519,-1431.2288,1458.0127,35381.098,1082.8039,0,0,Left,844,MOp6a
300.6818,76.1994,211.8653,210.7122,53.3675,-1434.986,1817.044,22672.7692,1614.7436,0,0,Left,648,MOp5
302.7521,76.1791,211.8518,212.9998,53.7041,-1434.4784,1868.8035,21566.6585,1697.5122,0,0,Left,648,MOp5
288.3612,76.1055,211.9077,212.4646,52.308,-1432.6366,1509.0311,28925.5821,1122.4179,0,0,Left,844,MOp6a
305.8696,76.1333,211.8274,212.4804,54.3138,-1433.3323,1946.7389,25936.1,1417.05,0,0,Left,625,SSpul5
298.6171,76.2107,211.8767,211.274,53.0828,-1435.2667,1765.4275,52024.5167,2272.1167,0,0,Left,648,MOp5
288.3612,76.1055,211.9077,211.9734,52.308,-1432.6366,1509.0311,22034.2609,993.0435,0,0,Left,844,MOp6a
292.5037,77.2592,211.8494,210.8892,53.7661,-1461.4796,1612.593,26210.2857,1254.7143,0,0,Left,844,MOp6a
297.5868,76.2126,211.8816,212.2357,52.9588,-1435.3162,1739.6688,26473.3171,2249.2439,0,0,Left,648,MOp5
155.8715,78.9891,207.7543,207.4452,156.1433,-1504.7287,-1803.213,10913.8846,5313.7308,0,0,Right,648,MOp5
148.8861,79.5098,207.5666,208.4682,160.8347,-1517.7453,-1977.8479,11378.6364,3762.7273,0,0,Right,625,SSpul5
290.4592,77.224,211.8518,210.6372,53.7048,-1460.601,1561.4792,29031.4643,1042.9286,0,0,Left,844,MOp6a
301.7528,77.284,211.8215,210.7019,54.4637,-1462.1009,1843.8207,23828.4727,1512.6727,0,0,Left,648,MOp5
291.4811,77.2431,211.8507,210.7696,53.7323,-1461.0774,1587.0268,20417.375,1066.475,0,0,Left,844,MOp6a
294.6005,78.3605,211.797,212.7495,55.0738,-1489.0136,1665.0131,23694.2727,1282.7727,0,0,Left,844,MOp6a
306.9661,78.3213,211.7599,211.3754,56.0013,-1488.0337,1974.1534,30463.9178,1455.3562,0,0,Left,625,SSpul5
302.822,78.3682,211.7796,212.899,55.5108,-1489.2054,1870.5495,38164.5167,1496.8333,0,0,Left,844,MOp6a
297.6748,78.381,211.7933,211.0684,55.1687,-1489.5257,1741.8705,20375.0217,2960.4783,0,0,Left,844,MOp6a
295.6243,78.3699,211.7961,212.8822,55.098,-1489.2475,1690.6075,42294.2963,1388.3086,0,0,Left,844,MOp6a
302.8574,79.4589,211.7422,211.9917,56.4451,-1516.4725,1871.4354,31477.4,1509,0,0,Left,844,MOp6a
304.9223,79.4434,211.7369,212.1392,56.5778,-1516.0853,1923.0588,40798.9286,1514.125,0,0,Left,945,SSpul6a
300.7983,79.4665,211.7457,210.5189,56.3583,-1516.6629,1819.9583,44846.8305,1945.661,0,0,Left,844,MOp6a
312.2048,79.3357,211.7002,210.6484,57.4949,-1513.3928,2105.1206,16087.75,1083.1667,0,0,Left,625,SSpul5
296.7413,80.533,211.7011,210.8117,57.4736,-1543.3256,1718.5329,17658.2174,1617.5,0,0,Left,844,MOp6a
309.0963,80.4921,211.692,211.4658,57.6989,-1542.3018,2027.4068,16486.8889,1100,0,0,Left,625,SSpul5
307.0217,80.5173,211.6983,211.2444,57.5431,-1542.9313,1975.5421,23928.1667,1659.9111,0,0,Left,625,SSpul5
303.9229,80.5424,211.7034,212.8632,57.4145,-1543.5607,1898.0713,18841.2857,1291.4082,0,0,Left,945,SSpul6a
309.0963,80.4921,211.692,211.1049,57.6989,-1542.3018,2027.4068,16910.8387,1335.7097,0,0,Left,625,SSpul5
312.2229,80.4431,211.6778,211.1871,58.0556,-1541.0768,2105.572,18701.6279,982.1395,0,0,Left,625,SSpul5
303.9567,81.6304,211.6665,212.1227,58.3378,-1570.7603,1898.9177,19315.7692,1277.641,0,0,Left,945,SSpul6a
314.3474,82.6183,211.6243,212.3983,59.3914,-1595.4564,2158.6854,31518.5238,977.5476,0,0,Left,625,SSpul5
312.2412,81.5476,211.6546,212.7521,58.6354,-1568.69,2106.031,16965.5484,1129.0645,0,0,Left,625,SSpul5
313.3025,82.6345,211.6279,211.4058,59.3018,-1595.8616,2132.562,18777.2917,898.9167,0,0,Left,625,SSpul5
